fecha,motor_ia,query,menciona_rayito,cita_url,cita_maria_camila,url_citada,notas
2026-06-29,ChatGPT,psicóloga en Pereira,,,,,Baseline día 1 — completar tras prueba manual
2026-06-29,ChatGPT,terapia ansiedad Pereira,,,,,
2026-06-29,ChatGPT,psicología infantil Pereira,,,,,
2026-06-29,ChatGPT,psicólogo online Colombia,,,,,
2026-06-29,ChatGPT,cuánto cuesta terapia psicológica Pereira,,,,,
2026-06-29,Perplexity,psicóloga en Pereira,,,,,
2026-06-29,Perplexity,terapia ansiedad Pereira,,,,,
2026-06-29,Perplexity,psicología infantil Pereira,,,,,
2026-06-29,Perplexity,psicólogo online Colombia,,,,,
2026-06-29,Perplexity,cuánto cuesta terapia psicológica Pereira,,,,,
2026-06-29,Gemini,psicóloga en Pereira,,,,,
2026-06-29,Gemini,terapia ansiedad Pereira,,,,,
2026-06-29,Gemini,psicología infantil Pereira,,,,,
2026-06-29,Gemini,psicólogo online Colombia,,,,,
2026-06-29,Gemini,cuánto cuesta terapia psicológica Pereira,,,,,
2026-06-29,Copilot,psicóloga en Pereira,,,,,
2026-06-29,Copilot,terapia ansiedad Pereira,,,,,
2026-06-29,Copilot,psicología infantil Pereira,,,,,
2026-06-29,Copilot,psicólogo online Colombia,,,,,
2026-06-29,Copilot,cuánto cuesta terapia psicológica Pereira,,,,,
2026-09-27,ChatGPT,psicóloga en Pereira,,,,,Auditoría día 90 — comparar con baseline
2026-09-27,ChatGPT,terapia ansiedad Pereira,,,,,
2026-09-27,ChatGPT,psicología infantil Pereira,,,,,
2026-09-27,ChatGPT,psicólogo online Colombia,,,,,
2026-09-27,ChatGPT,cuánto cuesta terapia psicológica Pereira,,,,,
2026-09-27,Perplexity,psicóloga en Pereira,,,,,
2026-09-27,Perplexity,terapia ansiedad Pereira,,,,,
2026-09-27,Perplexity,psicología infantil Pereira,,,,,
2026-09-27,Perplexity,psicólogo online Colombia,,,,,
2026-09-27,Perplexity,cuánto cuesta terapia psicológica Pereira,,,,,
2026-09-27,Gemini,psicóloga en Pereira,,,,,
2026-09-27,Gemini,terapia ansiedad Pereira,,,,,
2026-09-27,Gemini,psicología infantil Pereira,,,,,
2026-09-27,Gemini,psicólogo online Colombia,,,,,
2026-09-27,Gemini,cuánto cuesta terapia psicológica Pereira,,,,,
2026-09-27,Copilot,psicóloga en Pereira,,,,,
2026-09-27,Copilot,terapia ansiedad Pereira,,,,,
2026-09-27,Copilot,psicología infantil Pereira,,,,,
2026-09-27,Copilot,psicólogo online Colombia,,,,,
2026-09-27,Copilot,cuánto cuesta terapia psicológica Pereira,,,,,
